top - 12:13:53 up  1:22,  1 user,  load average: 2.68, 2.14, 1.98
Tasks: 359 total,   4 running, 355 sleeping,   0 stopped,   0 zombie
%Cpu(s): 53.3 us, 20.0 sy,  0.0 ni, 25.9 id,  0.4 wa,  0.0 hi,  0.4 si,  0.0 st
MiB Mem :  15805.8 total,    587.7 free,   5025.8 used,  10192.3 buff/cache
MiB Swap:   2048.0 total,   1889.1 free,    158.9 used.   9768.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2262 kaushal   20   0  353144  24272  17140 S   0.0   0.1   0:00.30 xdg-desktop-por
   2398 kaushal   20   0  171776   6720   6072 S   0.0   0.0   0:00.02 gvfsd-metadata
   2490 kaushal   20   0  503240  29312  21272 S   0.0   0.2   0:00.61 update-notifier
   2544 kaushal   20   0   44584  19340  11584 S   0.0   0.1   0:00.17 gnome-terminal
   2547 kaushal   20   0  392332  26940  19344 S   0.0   0.2   0:00.33 gnome-terminal.
   2552 kaushal   20   0  828780  51220  38172 S   0.0   0.3   0:07.32 gnome-terminal-
   2570 kaushal   20   0   20188   5476   3600 S   0.0   0.0   0:00.23 bash
   2719 libvirt+  20   0   10144   2008   1808 S   0.0   0.0   0:00.06 dnsmasq
   2720 root      20   0   10040   1384   1220 S   0.0   0.0   0:00.00 dnsmasq
   2922 root      20   0   79764  14240  12368 S   0.0   0.1   0:00.02 virtlogd
   2959 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kvm-nx-lpage-re
   2960 root      20   0       0      0      0 S   0.0   0.0   0:00.27 vhost-2953
   2964 root      20   0       0      0      0 S   0.0   0.0   0:00.92 kvm-pit/2953
   3364 root      20   0       0      0      0 I   0.0   0.0   0:00.33 kworker/8:0-events
   3501 root      20   0       0      0      0 I   0.0   0.0   0:00.63 kworker/2:0-events
   4372 kaushal   20   0 1141300 117828  71036 S   0.0   0.7   0:47.51 Xwayland
   4401 kaushal   20   0 1254640  39220  21984 S   0.0   0.2   0:00.61 gsd-xsettings
   4436 kaushal   20   0  202816  24440  17320 S   0.0   0.2   0:00.30 ibus-x11
   4696 kaushal   20   0   36.8g 128536  88460 S   0.0   0.8   0:54.04 code
   4698 kaushal   20   0   32.4g  21712  20316 S   0.0   0.1   0:00.03 code
   4699 kaushal   20   0   32.4g  19740  19740 S   0.0   0.1   0:00.02 code
   4712 kaushal   20   0   32.0g   2172   1980 S   0.0   0.0   0:00.00 chrome_crashpad
   4752 kaushal   20   0   32.5g  44604  34760 S   0.0   0.3   0:00.74 code
   4779 kaushal   20   0   54.8g 338800 131780 S   0.0   2.1   5:08.84 code
   4841 kaushal   20   0   44.7g 110360  68632 S   0.0   0.7   0:26.62 code
   4847 kaushal   20   0   36.6g 150140  40656 S   0.0   0.9   0:18.34 code
